gene	disease
TUBB8	Oocyte maturation defect 2
TXNRD2	GLUCOCORTICOID DEFICIENCY 5
TYK2	Tyrosine kinase 2 deficiency
TYR	Oculocutaneous albinism type 1B
TYR	Albinism, ocular, with sensorineural deafness
TYR	Tyrosinase-negative oculocutaneous albinism
TYR	Skin/hair/eye pigmentation, variation in, 3
TYRP1	Oculocutaneous albinism type 3
TYRP1	Skin/hair/eye pigmentation, variation in, 11
UBA5	Epileptic encephalopathy, early infantile, 44
UBA5	Spinocerebellar ataxia, autosomal recessive 24
UBQLN2	Amyotrophic lateral sclerosis 15, with or without frontotemporal dementia
UBQLN2	Amyotrophic lateral sclerosis
UBQLN2	Amyotrophic lateral sclerosis
UGT1A1	Bilirubin, serum level of, quantitative trait locus 1
UGT1A1	Lucey-Driscoll syndrome
UGT1A1	Crigler-Najjar syndrome, type II
UGT1A1	Gilbert's syndrome
UGT1A1	Crigler-Najjar syndrome type 1
UGT1A1	Atazanavir response
UGT1A1	Irinotecan response
UGT2B17	Bone mineral density quantitative trait locus 12
UNC13D	Familial hemophagocytic lymphohistiocytosis 3
UROD	Familial porphyria cutanea tarda
UROS	Congenital erythropoietic porphyria
USH1C	Deafness, autosomal recessive 18
USH1C	Usher syndrome, type 1C
USH1C	Usher syndrome type 1
USH1G	Usher syndrome, type 1G
USH2A	Retinitis pigmentosa 39
USH2A	Usher syndrome, type 2A
USP9Y	Spermatogenic failure, Y-linked 2
VCAN	Wagner syndrome
VDR	Vitamin D-dependent rickets, type 2
VEGFA	Microvascular complications of diabetes 1
VHL	Von Hippel-Lindau syndrome
VHL	Erythrocytosis, familial, 2
VHL	Renal cell carcinoma, nonpapillary
VHL	Pheochromocytoma
VKORC1	Warfarin response
VKORC1	Vitamin K-dependent clotting factors, combined deficiency of, 2
VLDLR	Cerebellar ataxia, mental retardation, and dysequilibrium syndrome 1
VPS35	Parkinson disease 17
VPS53	Pontocerebellar hypoplasia, type 2e
VWF	Von Willebrand disease, recessive form
VWF	von Willebrand disease type 2
VWF	von Willebrand disease type 1
WDPCP	Congenital heart defects, hamartomas of tongue, and polysyndactyly
WDPCP	Bardet-Biedl syndrome 15
WFS1	Autosomal dominant nonsyndromic deafness 6
WFS1	Diabetes mellitus AND insipidus with optic atrophy AND deafness
WFS1	Wolfram-like syndrome, autosomal dominant
WFS1	Cataract 41
WFS1	Diabetes mellitus type 2
WRN	Werner syndrome
WT1	Drash syndrome
WT1	Meacham syndrome
WT1	Mesothelioma, malignant
WT1	Frasier syndrome
WT1	Aniridia 1
WT1	Wilms tumor, aniridia, genitourinary anomalies, and mental retardation syndrome
WT1	Nephrotic syndrome, type 4
WT1	Wilms tumor 1
WWC1	Memory quantitative trait locus
WWOX	Epileptic encephalopathy, early infantile, 28
WWOX	Malignant tumor of esophagus
WWOX	Spinocerebellar ataxia, autosomal recessive 12
XIAP	Lymphoproliferative syndrome 1, X-linked
XIAP	Lymphoproliferative syndrome 2, X-linked
XPC	Xeroderma pigmentosum, group C
XPNPEP2	Angioedema induced by ACE inhibitors, susceptibility to
XRCC1	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 26
XRCC2	Fanconi anemia, complementation group U
YARS2	Myopathy, lactic acidosis, and sideroblastic anemia 2
ZFHX2	Indifference to pain, congenital, autosomal dominant
ZNF365	Uric acid nephrolithiasis, susceptibility to
ZNF644	Myopia 21, autosomal dominant
ZSWIM6	NEURODEVELOPMENTAL DISORDER WITH MOVEMENT ABNORMALITIES, ABNORMAL GAIT, AND AUTISTIC FEATURES
ZSWIM6	Acromelic frontonasal dysostosis
ABCA12	Congenital ichthyosis of skin
ABCA12	Congenital ichthyosis of skin
ABCA3	Pulmonary surfactant metabolism dysfunction
ABCA7	Alzheimer disease
ABCC8	Familial hyperinsulinism
ABCC8	Transitory neonatal diabetes mellitus
ABCC8	Neonatal diabetes mellitus
ABCC8	Neonatal diabetes mellitus
ABCC9	Familial dilated cardiomyopathy
ABCC9	Atrial fibrillation
ABCC9	Cardiomyopathy
ABCC9	Cardiomyopathy
ACADM	Disorder of fatty acid metabolism
ACADVL	Disorder of fatty acid metabolism
ACAT1	Disorder of organic acid metabolism
ACE	Microvascular complications of diabetes
ACTA2	Familial thoracic aortic aneurysm and aortic dissection
ACTA2	Familial thoracic aortic aneurysm and aortic dissection
ACTC1	Atrial septal defect
ACTC1	Atrial septal defect
ACTC1	Primary familial hypertrophic cardiomyopathy
ACTC1	Cardiomyopathy
ACTC1	Cardiomyopathy
ACTC1	Cardiomyopathy
ACTC1	Familial dilated cardiomyopathy
ACTG1	Autosomal dominant non-syndromic sensorineural deafness type DFNA
ACTG1	Nonsyndromic hearing loss and deafness
ACTG1	Hereditary hearing loss and deafness
ACTN4	Focal segmental glomerulosclerosis
ACTN4	Focal segmental glomerulosclerosis
ACTN4	Hereditary nephrotic syndrome
ACTN4	Hereditary Nephrotic Syndromes, Autosomal Dominant
ADA	Severe combined immunodeficiency disease
ADH1C	Parkinson disease
AGXT	Primary hyperoxaluria
AIPL1	Leber congenital amaurosis
AKT1	PTEN hamartoma tumor syndrome
AKT1	Neoplasm of the genitourinary tract
AKT1	Neoplasm of the breast
AKT1	Neoplasm of the breast
AMPD1	Metabolic myopathy
ANG	Amyotrophic lateral sclerosis
ANG	Amyotrophic lateral sclerosis
ANO5	Limb-girdle muscular dystrophy
ANO5	Limb-girdle muscular dystrophy
ANO5	Limb-girdle muscular dystrophy, autosomal recessive
APC	Desmoid tumor
APC	Carcinoma of colon
APC	Carcinoma of colon
APC	Carcinoma of colon
APC	Carcinoma of colon
APC	Carcinoma of colon
APC	COLORECTAL CANCER
APC	COLORECTAL CANCER
APC	COLORECTAL CANCER
APC	COLORECTAL CANCER
APC	COLORECTAL CANCER
APOA2	Hyperlipoproteinemia
APOA2	Familial hypercholesterolemia
APOA5	Hyperlipoproteinemia
APOB	Familial hypercholesterolemia
APOE	Early-onset autosomal dominant Alzheimer disease
APOE	Age-related macular degeneration
APOE	Late-Onset Familial Alzheimer Disease
APOE	Hyperlipoproteinemia
APOE	Alzheimer disease
APOE	Alzheimer disease
AR	Neoplasm of the genitourinary tract
ARG1	Disorder of the urea cycle metabolism
ARMS2	Age-related macular degeneration
ASL	Disorder of amino acid metabolism
ASL	Disorder of the urea cycle metabolism
ASPA	Ashkenazi Jewish disorders
ASS1	Disorder of the urea cycle metabolism
ASS1	Disorder of amino acid metabolism
ATM	Neoplasm of the breast
ATM	Neoplasm of the breast
ATP13A2	Neurodegeneration with brain iron accumulation
ATP13A2	Parkinson disease
ATP1A2	Familial hemiplegic migraine
ATXN2	Parkinson disease
BARD1	Neoplasm of the breast
BCKDHA	Disorder of amino acid metabolism
BCKDHA	Disorder of organic acid metabolism
BCKDHB	Disorder of organic acid metabolism
BCKDHB	Disorder of organic acid metabolism
BCKDHB	Disorder of amino acid metabolism
BCKDHB	Disorder of amino acid metabolism
BCS1L	Mitochondrial diseases
BCS1L	Mitochondrial diseases
BCS1L	Hereditary hearing loss and deafness
BCS1L	Hereditary hearing loss and deafness
BLM	Ashkenazi Jewish disorders
BLOC1S3	Hermansky-Pudlak syndrome
BMP2	Hereditary hemochromatosis
BRAF	Rasopathy
BRAF	Rasopathy
BRAF	Rasopathy
BRAF	Rasopathy
BRAF	Neoplasm of lung
BRAF	Noonan syndrome with multiple lentigines
BRAF	Noonan syndrome
BRAF	Noonan syndrome
BRCA1	Neoplasm of the breast
BRCA1	Neoplasm of the breast
BRCA1	Neoplasm of the breast
BRCA2	Neoplasm of the breast
BRCA2	Neoplasm of the breast
BRCA2	Neoplasm of the breast
BRCA2	Neoplasm of the genitourinary tract
BRCA2	Nephroblastoma
BRCA2	Glioma
BRCA2	Glioma
BRCA2	Fanconi anemia
BRCA2	Fanconi anemia
BRIP1	Fanconi anemia
BRIP1	Fanconi anemia
BRIP1	Neoplasm of the breast
BRIP1	Neoplasm of the breast
BTD	Biotin-Responsive Multiple Carboxylase Deficiencies
BTD	Hereditary hearing loss and deafness
BTK	Idiopathic growth hormone deficiency
C3	Hemolytic-uremic syndrome
C3	Age-related macular degeneration
C3	Atypical hemolytic uremic syndrome
CACNA1A	Episodic ataxia
CACNA1A	Episodic ataxia
CACNA1A	Familial hemiplegic migraine
CACNA1C	Brugada syndrome
CACNA1S	Hypokalemic periodic paralysis
CACNA1S	Malignant hyperthermia susceptibility
CACNB2	Brugada syndrome
CASP8	Autoimmune lymphoproliferative syndrome
CASP8	Neoplasm of lung
CASP8	Neoplasm of the breast
CAV3	Limb-girdle muscular dystrophy autosomal dominant
CAV3	Limb-girdle muscular dystrophy autosomal dominant
CAV3	Limb-girdle muscular dystrophy autosomal dominant
CAV3	Primary familial hypertrophic cardiomyopathy
CAV3	Romano-Ward syndrome
CAV3	Limb-girdle muscular dystrophy
CAV3	Limb-girdle muscular dystrophy
CAV3	Limb-girdle muscular dystrophy
CAV3	Limb-girdle muscular dystrophy
CAV3	Limb-girdle muscular dystrophy
CAV3	Limb-girdle muscular dystrophy
CAV3	Cardiomyopathy
CAV3	Caveolinopathy
CAV3	Caveolinopathy
CAV3	Caveolinopathy
CCM2	Cerebral cavernous malformation
CDH1	Neoplasm of the genitourinary tract
CDH1	Neoplasm of the genitourinary tract
CDH1	Neoplasm of the breast
CDH23	Nonsyndromic hearing loss and deafness
CDH23	Nonsyndromic Hearing Loss and Deafness, Autosomal Recessive
CDH23	Hereditary hearing loss and deafness
CDH23	Hereditary hearing loss and deafness
CDH23	Usher syndrome type 1
CDKN2A	Hereditary cutaneous melanoma
CDKN2A	Malignant melanoma of skin
CDKN2A	Cutaneous melanoma
CEP152	Primary autosomal recessive microcephaly
CEP290	Meckel-Gruber syndrome
CEP290	Leber congenital amaurosis
CEP290	Renal dysplasia and retinal aplasia
CEP290	Bardet-Biedl syndrome
CEP290	Joubert syndrome
CFH	Atypical hemolytic uremic syndrome
CFH	Age-related macular degeneration
CFH	Hemolytic-uremic syndrome
CFI	Hemolytic-uremic syndrome
CFI	Atypical hemolytic uremic syndrome
CFI	Hereditary factor I deficiency disease
CFTR	Ashkenazi Jewish disorders
CHEK2	Li-Fraumeni syndrome
CHEK2	Neoplasm of the genitourinary tract
CHEK2	Neoplasm of the breast
CHEK2	Neoplasm of the breast
CHRNA4	Autosomal dominant nocturnal frontal lobe epilepsy
CLCN1	Myotonia congenita
CLCN1	Myotonia congenita
CLDN14	Hereditary hearing loss and deafness
CLDN14	Nonsyndromic Hearing Loss and Deafness, Autosomal Recessive
CLDN14	Nonsyndromic hearing loss and deafness
CLN3	Neuronal ceroid lipofuscinosis
CLN5	Neuronal ceroid lipofuscinosis
CLRN1	Hereditary hearing loss and deafness
CNGB3	Achromatopsia
COCH	Autosomal dominant non-syndromic sensorineural deafness type DFNA
COCH	Nonsyndromic hearing loss and deafness
COCH	Hereditary hearing loss and deafness
COL11A1	Stickler syndrome
COL11A1	Hereditary hearing loss and deafness
COL17A1	Junctional epidermolysis bullosa
COL2A1	Type II Collagenopathies
COL2A1	Type II Collagenopathies
COL2A1	Type II Collagenopathies
COL2A1	Type II Collagenopathies
COL2A1	Type II Collagenopathies
COL2A1	Type II Collagenopathies
COL2A1	Type II Collagenopathies
COL2A1	Type II Collagenopathies
COL2A1	Type II Collagenopathies
COL2A1	Hereditary hearing loss and deafness
COL2A1	Familial avascular necrosis of the femoral head
COL2A1	Stickler syndrome
COL3A1	Familial aortopathy
COL4A3	Alport syndrome
COL4A3	Alport syndrome
COL4A3	Collagen IV-related nephropathies
COL4A3	Collagen IV-related nephropathies
COL4A3	Collagen IV-related nephropathies
COL4A3	Hereditary hearing loss and deafness
COL4A3	Hereditary hearing loss and deafness
COL9A2	Stickler syndrome
COL9A2	Multiple Epiphyseal Dysplasia, Dominant
COL9A2	Hereditary hearing loss and deafness
COL9A3	Multiple Epiphyseal Dysplasia, Dominant
CPS1	Disorder of the urea cycle metabolism
CPT1A	Disorder of fatty acid metabolism
CREBBP	Rubinstein-Taybi syndrome
CREBBP	Menke-Hennekam syndrome
CST3	Age-related macular degeneration
CTLA4	Celiac disease
CTLA4	Celiac disease
CTSD	Neuronal ceroid lipofuscinosis
CYP17A1	Disorder of endocrine system
CYP17A1	Congenital adrenal hyperplasia
CYP21A2	Congenital adrenal hyperplasia
CYP21A2	Disorder of endocrine system
CYP2A6	Neoplasm of lung
DBT	Disorder of organic acid metabolism
DBT	Disorder of amino acid metabolism
DCDC2	Nonsyndromic hearing loss and deafness
DCDC2	Nonsyndromic Hearing Loss and Deafness, Autosomal Recessive
DCDC2	Hereditary hearing loss and deafness
DHDDS	Retinitis pigmentosa
DISC1	Schizophrenia
DLD	Hereditary hearing loss and deafness
DLD	Leigh syndrome
DLD	Mitochondrial diseases
DLD	Pyruvate dehydrogenase complex deficiency
DNAH1	Primary ciliary dyskinesia
DNAI1	Primary ciliary dyskinesia
DNM2	Centronuclear myopathy
DPP6	Paroxysmal familial ventricular fibrillation
DRD3	Essential tremor
DSP	Arrhythmogenic right ventricular cardiomyopathy
DSP	Cardiomyopathy
DTNBP1	Hermansky-Pudlak syndrome
DYSF	Qualitative or quantitative defects of dysferlin
DYSF	Qualitative or quantitative defects of dysferlin
DYSF	Limb-girdle muscular dystrophy, autosomal recessive
DYSF	Limb-girdle muscular dystrophy, autosomal recessive
EDAR	Hypohidrotic ectodermal dysplasia
EDAR	Hypohidrotic ectodermal dysplasia
EDAR	Hypohidrotic ectodermal dysplasia
EDAR	Hypohidrotic ectodermal dysplasia
EDAR	Autosomal hypohidrotic ectodermal dysplasia
EDAR	Autosomal hypohidrotic ectodermal dysplasia
EDN1	Auriculocondylar syndrome
EDN1	Auriculocondylar syndrome
EDNRB	Hereditary hearing loss and deafness
EDNRB	Hirschsprung disease
EDNRB	Hirschsprung disease
EGFR	Neoplasm of lung
EGLN1	Familial erythrocytosis
ELAC2	Combined oxidative phosphorylation deficiency
ELANE	Severe congenital neutropenia
ELN	Cutis laxa, autosomal dominant
ENG	Hereditary hemorrhagic telangiectasia
EPAS1	Familial erythrocytosis
EPCAM	COLORECTAL CANCER
EPCAM	Lynch syndrome
EPCAM	Carcinoma of colon
EPOR	Familial erythrocytosis
ERCC2	Xeroderma pigmentosum
ERCC6	Cockayne syndrome
ERCC6	Neoplasm of lung
ERCC6	Age-related macular degeneration
ESR1	Neoplasm of the breast
ESRRB	Hereditary hearing loss and deafness
ESRRB	Nonsyndromic Hearing Loss and Deafness, Autosomal Recessive
ESRRB	Nonsyndromic hearing loss and deafness
EYA1	Branchiootorenal Spectrum Disorders
EYA1	Hereditary hearing loss and deafness
F12	Hereditary angioneurotic edema
F5	Venous thrombosis
F9	Hemophilia
FAH	Disorder of amino acid metabolism
FANCC	Fanconi anemia
FANCC	Fanconi anemia
FANCC	Ashkenazi Jewish disorders
FBN1	Ectopia lentis
FBN1	Familial aortopathy
FBN1	Weill-Marchesani syndrome
FCGR2A	Ashkenazi Jewish disorders
FGFR2	Craniosynostosis syndrome
FGFR2	Craniosynostosis syndrome
FGFR2	Craniosynostosis syndrome
FGFR2	Craniosynostosis syndrome
FGFR2	Craniosynostosis syndrome
FGFR2	Craniosynostosis 1
FGFR2	Craniosynostosis 1
FGFR2	Craniosynostosis 1
FGFR2	Craniosynostosis 1
FGFR2	Craniosynostosis 1
FGFR2	Craniosynostosis syndrome
FGFR2	Craniosynostosis 1
FGFR2	Antley-Bixler syndrome
FGFR2	Antley-Bixler syndrome
FGFR2	Antley-Bixler syndrome with genital anomalies and disordered steroidogenesis
FGFR3	Neoplasm of the genitourinary tract
FGFR3	Neoplasm of the genitourinary tract
FGFR3	Craniosynostosis 1
FGFR3	Craniosynostosis syndrome
FGFR3	Craniosynostosis 1
FGFR3	Craniosynostosis 1
FGFR3	Craniosynostosis syndrome
FGFR3	Craniosynostosis syndrome
FGG	Hereditary factor I deficiency disease
FKRP	Limb-girdle muscular dystrophy
FKRP	Limb-girdle muscular dystrophy
FKRP	alpha-Dystroglycan related dystrophy
FKRP	alpha-Dystroglycan related dystrophy
FKRP	alpha-Dystroglycan related dystrophy
FKRP	Limb-girdle muscular dystrophy, autosomal recessive
FKRP	Congenital muscular dystrophy
FKRP	Congenital muscular dystrophy
FKRP	Congenital muscular dystrophy
FLNB	Larsen syndrome
FLNB	Atelosteogenesis
FLNB	Atelosteogenesis
FTL	Neurodegeneration with brain iron accumulation
FUS	Amyotrophic lateral sclerosis
FUS	Amyotrophic lateral sclerosis
FXN	Friedreich's ataxia
G6PC	Glycogen storage disease
G6PC	Glycogen storage disease, type I
GAA	Metabolic myopathy
GAA	Glycogen storage disease
GABRA1	Idiopathic generalized epilepsy
GABRA1	Juvenile myoclonic epilepsy
GALT	Galactosemia
GAMT	Cerebral creatine deficiency syndrome
GATA4	Atrial septal defect
GATA4	Atrial septal defect
GBA	Ashkenazi Jewish disorders
GBA	Gaucher disease
GBA	Gaucher disease
GBA	Gaucher disease
GBA	Gaucher disease
GBA	Gaucher disease
GBA	Parkinson disease
GCDH	Disorder of organic acid metabolism
GCK	Neonatal diabetes mellitus
GCK	Familial hyperinsulinism
GDF2	Hereditary hemorrhagic telangiectasia
GHR	Familial hypercholesterolemia
GHR	Hyperlipoproteinemia
GJB2	Hereditary hearing loss and deafness
GJB2	Hereditary hearing loss and deafness
GJB2	DFNA 3 Nonsyndromic Hearing Loss and Deafness
GJB2	Hereditary hearing loss and deafness
GJB2	Nonsyndromic hearing loss and deafness
GJB2	Nonsyndromic hearing loss and deafness
GJB2	Nonsyndromic hearing loss and deafness
GJB2	Nonsyndromic Hearing Loss and Deafness, Autosomal Recessive
GJB2	Deafness, autosomal dominant nonsyndromic sensorineural 3
GJB2	Autosomal dominant non-syndromic sensorineural deafness type DFNA
GLB1	Morquio syndrome
GLB1	GM1 gangliosidosis
GLB1	GM1 gangliosidosis
GLB1	GM1 gangliosidosis
GPHN	Hyperekplexia
GPHN	Hyperekplexia
GPHN	Combined molybdoflavoprotein enzyme deficiency
GRHPR	Primary hyperoxaluria
GUCY2D	Leber congenital amaurosis
HBA1	Hemoglobinopathy
HBA1	Hemoglobinopathy
HBA1	Thalassemia
HBA1	Thalassemia
HBA2	Thalassemia
HBA2	Thalassemia
HBA2	Hemoglobinopathy
HBA2	Hemoglobinopathy
HBB	Hemoglobinopathy
HBB	Hemoglobinopathy
HBB	Hemoglobinopathy
HBB	Thalassemia
HBB	Thalassemia
HEXA	Ashkenazi Jewish disorders
HFE	Microvascular complications of diabetes
HFE	Hereditary hemochromatosis
HGF	Nonsyndromic Hearing Loss and Deafness, Autosomal Recessive
HGF	Nonsyndromic hearing loss and deafness
HGF	Hereditary hearing loss and deafness
HLA-DQB1	Genetic prion diseases
HOGA1	Primary hyperoxaluria
HPS5	Hermansky-Pudlak syndrome
HRAS	Neoplasm of the genitourinary tract
HRAS	Rasopathy
HSD17B4	Perrault syndrome
HSD17B4	Perrault syndrome
HSD3B2	Congenital adrenal hyperplasia
HSD3B2	Disorder of endocrine system
HTRA1	Age-related macular degeneration
IDH1	Glioma
IDH1	Glioma
IFITM5	Osteogenesis imperfecta
IFNL3	Hepatitis C virus infection, response to therapy of
IFNL3	Hepatitis C virus infection, response to therapy of
IFNL3	Hepatitis C virus infection, response to therapy of
IL1RN	Microvascular complications of diabetes
IMPDH1	Retinitis pigmentosa
IMPDH1	Leber congenital amaurosis
INSR	Familial hyperinsulinism
IRF1	Neoplasm of lung
IRF5	Systemic lupus erythematosus
JAK2	Familial erythrocytosis
JUP	Cardiomyopathy
JUP	Arrhythmogenic right ventricular cardiomyopathy
KCNA5	Atrial fibrillation
KCNE1	Romano-Ward syndrome
KCNE1	Hereditary hearing loss and deafness
KCNE1	Hereditary hearing loss and deafness
KCNE1	Jervell and Lange-Nielsen syndrome 1
KCNE1	Jervell and Lange-Nielsen syndrome 1
KCNH2	Romano-Ward syndrome
KCNH2	short QT syndrome
KCNJ1	Antenatal Bartter Syndrome
KCNJ1	Bartter syndrome
KCNJ11	Neonatal diabetes mellitus
KCNJ11	Neonatal diabetes mellitus
KCNJ11	Familial hyperinsulinism
KCNQ1	Romano-Ward syndrome
KCNQ1	Romano-Ward syndrome
KCNQ1	short QT syndrome
KCNQ1	Atrial fibrillation
KCNQ1	Hereditary hearing loss and deafness
KCNQ1	Hereditary hearing loss and deafness
KCNQ1	Hereditary hearing loss and deafness
KCNQ4	Autosomal dominant non-syndromic sensorineural deafness type DFNA
KCNQ4	Nonsyndromic hearing loss and deafness
KCNQ4	Hereditary hearing loss and deafness
KIF1A	Hereditary sensory and autonomic neuropathy type II
KIF1A	Hereditary sensory and autonomic neuropathy type II
KIF1B	Charcot-Marie-Tooth disease, type 2
KIF1B	Charcot-Marie-Tooth disease, type 2A
KIF1B	Charcot-Marie-Tooth disease
KIT	Neoplasm of the genitourinary tract
KLF6	Neoplasm of the genitourinary tract
KRAS	Neoplasm of lung
KRAS	Autoimmune lymphoproliferative syndrome
KRAS	Noonan syndrome
KRAS	Neoplasm of the genitourinary tract
KRAS	Rasopathy
KRAS	Neoplasm of the breast
KRT14	Epidermolysis bullosa simplex
KRT14	Epidermolysis bullosa simplex
KRT14	Epidermolysis bullosa simplex
KRT5	Epidermolysis bullosa simplex
KRT5	Epidermolysis bullosa simplex
KRT5	Epidermolysis bullosa simplex
KRT5	Epidermolysis bullosa simplex
LAMA2	Laminin alpha 2-related dystrophy
LAMA2	Congenital muscular dystrophy
LAMB3	Junctional epidermolysis bullosa
LAMB3	Junctional epidermolysis bullosa
LAMC2	Junctional epidermolysis bullosa
LAMC2	Junctional epidermolysis bullosa
LARS2	Perrault syndrome
LARS2	Perrault syndrome
LDB3	Cardiomyopathy
LDB3	Cardiomyopathy
LDB3	Familial dilated cardiomyopathy
LDB3	Myofibrillar myopathy
LDLR	Hyperlipoproteinemia
LDLR	Familial hypercholesterolemia
LDLRAP1	Familial hypercholesterolemia
LEP	Monogenic Non-Syndromic Obesity, Autosomal Recessive
LEPR	Monogenic Non-Syndromic Obesity, Autosomal Recessive
LHCGR	Precocious puberty
LMNA	Familial dilated cardiomyopathy
LMNA	Cardiomyopathy
LMNA	Cardiomyopathy
LMNA	Emery-Dreifuss muscular dystrophy
LMNA	Familial partial lipodystrophy
LOXHD1	Hereditary hearing loss and deafness
LOXHD1	Nonsyndromic hearing loss and deafness
LOXHD1	Nonsyndromic Hearing Loss and Deafness, Autosomal Recessive
LPL	Familial chylomicronemia syndrome
LPL	Hyperlipoproteinemia
LRP4	Sclerosteosis
LRP5	Osteopetrosis, autosomal dominant
LRP5	Familial exudative vitreoretinopathy, autosomal dominant
LRP5	Familial exudative vitreoretinopathy, autosomal dominant
LRPPRC	Hereditary hearing loss and deafness
LRPPRC	Mitochondrial diseases
LRPPRC	Leigh syndrome
LRRK2	Parkinson disease
MAD1L1	Neoplasm of the genitourinary tract
MAP2K1	Rasopathy
MAP2K1	Rasopathy
MAP3K1	Pure gonadal dysgenesis 46,XY
MAPT	Parkinson disease
MC1R	Malignant melanoma of skin
MC1R	Cutaneous melanoma
MC1R	Hereditary cutaneous melanoma
MC1R	Oculocutaneous albinism
MCOLN1	Ashkenazi Jewish disorders
MECP2	Autism spectrum disorder
MET	Neoplasm of the genitourinary tract
MFN2	Charcot-Marie-Tooth disease, type 2A
MFN2	Charcot-Marie-Tooth disease, type 2
MFN2	Charcot-Marie-Tooth disease
MIR96	Hereditary hearing loss and deafness
MIR96	Nonsyndromic hearing loss and deafness
MIR96	Autosomal dominant non-syndromic sensorineural deafness type DFNA
MLH1	Lynch syndrome
MLH1	Lynch syndrome
MLH1	Lynch syndrome
MLH1	Familial adenomatous polyposis 1
MLH1	COLORECTAL CANCER
MLH1	COLORECTAL CANCER
MLH1	COLORECTAL CANCER
MLH1	COLORECTAL CANCER
MLH1	Carcinoma of colon
MLH1	Carcinoma of colon
MLH1	Carcinoma of colon
MLH1	COLORECTAL CANCER
MLH1	Carcinoma of colon
MLH1	Carcinoma of colon
MMAB	Methylmalonic acidemia
MMAB	Disorder of organic acid metabolism
MMACHC	Disorder of organic acid metabolism
MMACHC	Disorders of Intracellular Cobalamin Metabolism
MME	Charcot-Marie-Tooth disease
MPZ	Charcot-Marie-Tooth disease
MPZ	Charcot-Marie-Tooth disease
MPZ	Charcot-Marie-Tooth disease
MPZ	Charcot-Marie-Tooth disease
MPZ	Charcot-Marie-Tooth disease type 4
MPZ	Congenital hypomyelinating neuropathy
MPZ	Charcot-Marie-Tooth disease, type I
MPZ	Charcot-Marie-Tooth disease, type 2
MPZ	Charcot-Marie-Tooth disease, type 2
MSH2	COLORECTAL CANCER
MSH2	COLORECTAL CANCER
MSH2	COLORECTAL CANCER
MSH2	COLORECTAL CANCER
MSH2	Lynch syndrome
MSH2	Lynch syndrome
MSH2	Lynch syndrome
MSH2	Familial adenomatous polyposis 1
MSH2	Carcinoma of colon
MSH2	Carcinoma of colon
MSH2	COLORECTAL CANCER
MSH2	Carcinoma of colon
MSH2	Carcinoma of colon
MSH2	Carcinoma of colon
MSH6	Carcinoma of colon
MSH6	Carcinoma of colon
MSH6	COLORECTAL CANCER
MSH6	Carcinoma of colon
MSH6	Carcinoma of colon
MSH6	Familial adenomatous polyposis 1
MSH6	Lynch syndrome
MSH6	Lynch syndrome
MSH6	COLORECTAL CANCER
MSH6	COLORECTAL CANCER
MSH6	COLORECTAL CANCER
MT-ATP6	Mitochondrial diseases
MT-ATP6	Hereditary hearing loss and deafness
MT-ATP6	Retinitis pigmentosa
MT-CO1	Mitochondrial diseases
MT-CO1	Nonsyndromic hearing loss and deafness
MT-CO3	Retinitis pigmentosa
MT-ND1	Retinitis pigmentosa
MT-ND1	Hereditary hearing loss and deafness
MT-ND4	Retinitis pigmentosa
MT-ND4	Hereditary hearing loss and deafness
MT-ND5	Hereditary hearing loss and deafness
MT-ND5	Retinitis pigmentosa
MTR	Disorders of Intracellular Cobalamin Metabolism
MTRR	Disorders of Intracellular Cobalamin Metabolism
MUTYH	COLORECTAL CANCER
MUTYH	Carcinoma of colon
MYBPC3	Primary familial hypertrophic cardiomyopathy
MYBPC3	Cardiomyopathy
MYBPC3	Cardiomyopathy
MYH14	Autosomal dominant non-syndromic sensorineural deafness type DFNA
MYH14	Nonsyndromic hearing loss and deafness
MYH14	Hereditary hearing loss and deafness
MYH6	Caveolinopathy
MYH6	Atrial septal defect
MYH6	Atrial septal defect
MYH6	Cardiomyopathy
MYH6	Primary familial hypertrophic cardiomyopathy
MYH6	Primary familial hypertrophic cardiomyopathy
MYH6	Cardiomyopathy
MYH6	Limb-girdle muscular dystrophy autosomal dominant
MYH6	Cardiomyopathy
MYH6	Cardiomyopathy
MYH6	Limb-girdle muscular dystrophy
MYH6	Limb-girdle muscular dystrophy
MYH6	Familial dilated cardiomyopathy
MYH7	Familial dilated cardiomyopathy
MYH7	Limb-girdle muscular dystrophy
MYH7	Limb-girdle muscular dystrophy
MYH7	Cardiomyopathy
MYH7	Limb-girdle muscular dystrophy autosomal dominant
MYH7	Primary dilated cardiomyopathy
MYH7	Cardiomyopathy
MYH7	Primary familial hypertrophic cardiomyopathy
MYH7	Hyaline body myopathy
MYH7	Hyaline body myopathy
MYH7	Caveolinopathy
MYH9	Nonsyndromic hearing loss and deafness
MYH9	Autosomal dominant non-syndromic sensorineural deafness type DFNA
MYH9	Hereditary hearing loss and deafness
MYL2	Cardiomyopathy
MYL2	Primary familial hypertrophic cardiomyopathy
MYL3	Primary familial hypertrophic cardiomyopathy
MYL3	Cardiomyopathy
MYLK	Familial thoracic aortic aneurysm and aortic dissection
MYLK	Familial thoracic aortic aneurysm and aortic dissection
MYO3A	Hereditary hearing loss and deafness
MYO3A	Nonsyndromic hearing loss and deafness
MYO3A	Nonsyndromic Hearing Loss and Deafness, Autosomal Recessive
