gene	disease
CFHR1	Hemolytic-uremic syndrome
CFHR1	Age-related macular degeneration
CFHR1	Atypical hemolytic uremic syndrome
CFHR3	Atypical hemolytic uremic syndrome
CFHR3	Age-related macular degeneration
CFHR3	Hemolytic-uremic syndrome
CFHR4	Hemolytic-uremic syndrome
CFHR5	Mesangiocapillary glomerulonephritis, type II
CFI	Hemolytic-uremic syndrome
CFI	Atypical hemolytic uremic syndrome
CFI	Hereditary factor I deficiency disease
CFL2	Nemaline myopathy
CFTR	Ashkenazi Jewish disorders
CHAT	Congenital myasthenic syndrome
CHD7	Hypogonadism with anosmia
CHEK2	Li-Fraumeni syndrome
CHEK2	Neoplasm of the genitourinary tract
CHEK2	Neoplasm of the breast
CHEK2	Neoplasm of the breast
CHMP1A	Pontoneocerebellar hypoplasia
CHN1	Duane's syndrome
CHRNA1	Congenital myasthenic syndrome
CHRNA1	Congenital myasthenic syndrome
CHRNA2	Autosomal dominant nocturnal frontal lobe epilepsy
CHRNA4	Autosomal dominant nocturnal frontal lobe epilepsy
CHRNB2	Autosomal dominant nocturnal frontal lobe epilepsy
CHRNE	Congenital myasthenic syndrome
CIB2	Nonsyndromic hearing loss and deafness
CIB2	Nonsyndromic Hearing Loss and Deafness, Autosomal Recessive
CIB2	Hereditary hearing loss and deafness
CIDEC	Familial partial lipodystrophy
CLCF1	Cold-induced sweating syndrome
CLCN1	Myotonia congenita
CLCN1	Myotonia congenita
CLCN2	Idiopathic generalized epilepsy
CLCN2	Juvenile myoclonic epilepsy
CLCN2	Familial hyperaldosteronism
CLCN5	Dent's disease
CLCN7	Osteopetrosis, autosomal dominant
CLCNKB	Bartter syndrome
CLDN14	Hereditary hearing loss and deafness
CLDN14	Nonsyndromic Hearing Loss and Deafness, Autosomal Recessive
CLDN14	Nonsyndromic hearing loss and deafness
CLIC2	X chromosome deletion/duplication
CLIC2	Anomaly of sex chromosome
CLN3	Neuronal ceroid lipofuscinosis
CLN5	Neuronal ceroid lipofuscinosis
CLN6	Neuronal ceroid lipofuscinosis
CLN8	Neuronal ceroid lipofuscinosis
CLP1	Pontoneocerebellar hypoplasia
CLPP	Nonsyndromic hearing loss and deafness
CLPP	Perrault syndrome
CLPP	Perrault syndrome
CLPP	Nonsyndromic Hearing Loss and Deafness, Autosomal Recessive
CLPP	Hereditary hearing loss and deafness
CLRN1	Hereditary hearing loss and deafness
CNGA3	Achromatopsia
CNGB1	Retinitis pigmentosa
CNGB3	Achromatopsia
CNTNAP1	Congenital hypomyelinating neuropathy
COA3	Mitochondrial diseases
COA3	Hereditary hearing loss and deafness
COA8	Hereditary hearing loss and deafness
COA8	Mitochondrial diseases
COCH	Autosomal dominant non-syndromic sensorineural deafness type DFNA
COCH	Nonsyndromic hearing loss and deafness
COCH	Hereditary hearing loss and deafness
COG1	Congenital disorder of glycosylation
COG4	Congenital disorder of glycosylation
COG5	Congenital disorder of glycosylation
COG6	Congenital disorder of glycosylation
COG7	Congenital disorder of glycosylation
COG8	Congenital disorder of glycosylation
COL11A1	Stickler syndrome
COL11A1	Hereditary hearing loss and deafness
COL11A2	Hereditary hearing loss and deafness
COL11A2	Hereditary hearing loss and deafness
COL11A2	Hereditary hearing loss and deafness
COL11A2	Stickler syndrome
COL11A2	Nonsyndromic Hearing Loss and Deafness, Autosomal Recessive
COL11A2	Nonsyndromic hearing loss and deafness
COL11A2	Nonsyndromic hearing loss and deafness
COL11A2	Autosomal dominant non-syndromic sensorineural deafness type DFNA
COL17A1	Junctional epidermolysis bullosa
COL2A1	Type II Collagenopathies
COL2A1	Type II Collagenopathies
COL2A1	Type II Collagenopathies
COL2A1	Type II Collagenopathies
COL2A1	Type II Collagenopathies
COL2A1	Type II Collagenopathies
COL2A1	Type II Collagenopathies
COL2A1	Type II Collagenopathies
COL2A1	Type II Collagenopathies
COL2A1	Hereditary hearing loss and deafness
COL2A1	Familial avascular necrosis of the femoral head
COL2A1	Stickler syndrome
COL3A1	Familial aortopathy
COL4A3	Alport syndrome
COL4A3	Alport syndrome
COL4A3	Collagen IV-related nephropathies
COL4A3	Collagen IV-related nephropathies
COL4A3	Collagen IV-related nephropathies
COL4A3	Hereditary hearing loss and deafness
COL4A3	Hereditary hearing loss and deafness
COL4A4	Hereditary hearing loss and deafness
COL4A4	Collagen IV-related nephropathies
COL4A4	Collagen IV-related nephropathies
COL4A4	Alport syndrome
COL4A5	Alport syndrome
COL4A5	Collagen IV-related nephropathies
COL4A5	Hereditary hearing loss and deafness
COL6A1	Congenital muscular dystrophy
COL6A1	Congenital muscular dystrophy
COL6A1	Congenital muscular dystrophy
COL6A2	Congenital muscular dystrophy
COL6A2	Congenital muscular dystrophy
COL6A2	Collagen VI-related myopathy
COL6A2	Collagen VI-related myopathy
COL6A3	Collagen VI-related myopathy
COL6A3	Collagen VI-related myopathy
COL6A3	Congenital muscular dystrophy
COL6A3	Congenital muscular dystrophy
COL9A1	Hereditary hearing loss and deafness
COL9A1	Multiple Epiphyseal Dysplasia, Dominant
COL9A1	Stickler syndrome
COL9A2	Stickler syndrome
COL9A2	Multiple Epiphyseal Dysplasia, Dominant
COL9A2	Hereditary hearing loss and deafness
COL9A3	Multiple Epiphyseal Dysplasia, Dominant
COLQ	Congenital myasthenic syndrome
COMP	Multiple Epiphyseal Dysplasia, Dominant
COX10	Mitochondrial diseases
COX10	Mitochondrial diseases
COX10	Hereditary hearing loss and deafness
COX10	Hereditary hearing loss and deafness
COX14	Hereditary hearing loss and deafness
COX14	Mitochondrial diseases
COX15	Mitochondrial diseases
COX15	Hereditary hearing loss and deafness
COX20	Hereditary hearing loss and deafness
COX20	Mitochondrial diseases
COX6B1	Mitochondrial diseases
COX6B1	Hereditary hearing loss and deafness
COX8A	Hereditary hearing loss and deafness
COX8A	Mitochondrial diseases
CP	Neurodegeneration with brain iron accumulation
CPS1	Disorder of the urea cycle metabolism
CPT1A	Disorder of fatty acid metabolism
CPT2	Disorder of fatty acid metabolism
CR2	Systemic lupus erythematosus
CRB1	Leber congenital amaurosis
CRB1	Retinitis pigmentosa
CREBBP	Rubinstein-Taybi syndrome
CREBBP	Menke-Hennekam syndrome
CRLF1	Cold-induced sweating syndrome
CRTAP	Osteogenesis imperfecta
CRX	Leber congenital amaurosis
CRYAB	Primary dilated cardiomyopathy
CRYAB	Cardiomyopathy
CRYAB	Familial dilated cardiomyopathy
CRYAB	Myofibrillar myopathy
CSF2RA	Pulmonary surfactant metabolism dysfunction
CSRP3	Cardiomyopathy
CSRP3	Familial dilated cardiomyopathy
CSRP3	Cardiomyopathy
CSRP3	Cardiomyopathy
CSRP3	Primary familial hypertrophic cardiomyopathy
CST3	Age-related macular degeneration
CSTB	Progressive myoclonus epilepsy
CTC1	Cerebroretinal microangiopathy with calcifications and cysts
CTLA4	Celiac disease
CTLA4	Celiac disease
CTNNB1	Glioma
CTNNB1	Glioma
CTNNB1	Neoplasm of the genitourinary tract
CTNS	Cystinosis
CTNS	Cystinosis
CTNS	Cystinosis
CTSD	Neuronal ceroid lipofuscinosis
CUL3	Pseudohypoaldosteronism type 2A
CUL7	Three M syndrome
CYB5A	Hereditary methemoglobinemia
CYB5R3	Hereditary methemoglobinemia
CYBA	Chronic granulomatous disease
CYBB	Chronic granulomatous disease
CYP11B1	Congenital adrenal hyperplasia
CYP11B1	Familial hyperaldosteronism
CYP11B1	Disorder of endocrine system
CYP11B2	Corticosterone 18-monooxygenase deficiency
CYP11B2	Corticosterone 18-monooxygenase deficiency
CYP17A1	Disorder of endocrine system
CYP17A1	Congenital adrenal hyperplasia
CYP21A2	Congenital adrenal hyperplasia
CYP21A2	Disorder of endocrine system
CYP2A6	Neoplasm of lung
CYP4F22	Congenital ichthyosis of skin
DAG1	Limb-girdle muscular dystrophy
DAG1	Limb-girdle muscular dystrophy
DAG1	Limb-girdle muscular dystrophy, autosomal recessive
DBT	Disorder of organic acid metabolism
DBT	Disorder of amino acid metabolism
DCAF17	Neurodegeneration with brain iron accumulation
DCDC2	Nonsyndromic hearing loss and deafness
DCDC2	Nonsyndromic Hearing Loss and Deafness, Autosomal Recessive
DCDC2	Hereditary hearing loss and deafness
DCTN1	Amyotrophic lateral sclerosis
DCTN1	Amyotrophic lateral sclerosis
DCX	Lissencephaly
DCX	Lissencephaly
DCX	Malformation of cortical development
DDB2	Xeroderma pigmentosum
DES	Myofibrillar myopathy
DES	Cardiomyopathy
DES	Limb-girdle muscular dystrophy autosomal dominant
DES	Cardiomyopathy
DES	Cardiomyopathy
DES	Limb-girdle muscular dystrophy
DES	Limb-girdle muscular dystrophy
DES	Familial dilated cardiomyopathy
DES	Familial dilated cardiomyopathy
DGUOK	Mitochondrial diseases
DGUOK	Mitochondrial DNA depletion syndrome, hepatocerebral form
DGUOK	Mitochondrial DNA Deletion Syndromes
DGUOK	Hereditary hearing loss and deafness
DHDDS	Retinitis pigmentosa
DHH	Pure gonadal dysgenesis 46,XY
DIABLO	Autosomal dominant non-syndromic sensorineural deafness type DFNA
DIABLO	Nonsyndromic hearing loss and deafness
DIABLO	Hereditary hearing loss and deafness
DIAPH1	Hereditary hearing loss and deafness
DIAPH1	Nonsyndromic hearing loss and deafness
DIAPH1	Autosomal dominant non-syndromic sensorineural deafness type DFNA
DIAPH2	Premature ovarian failure
DISC1	Schizophrenia
DKC1	Dyskeratosis congenita
DLAT	Pyruvate dehydrogenase complex deficiency
DLAT	Mitochondrial diseases
DLAT	Leigh syndrome
DLAT	Hereditary hearing loss and deafness
DLD	Hereditary hearing loss and deafness
DLD	Leigh syndrome
DLD	Mitochondrial diseases
DLD	Pyruvate dehydrogenase complex deficiency
DLL3	Autosomal recessive spondylocostal dysostosis
DLL3	Jarcho-Levin syndrome
DMD	Dystrophinopathies
DMD	Dystrophinopathies
DMD	Dystrophinopathies
DNAAF1	Primary ciliary dyskinesia
DNAAF2	Primary ciliary dyskinesia
DNAAF3	Primary ciliary dyskinesia
DNAAF4	Primary ciliary dyskinesia
DNAAF6	Primary ciliary dyskinesia
DNAH1	Primary ciliary dyskinesia
DNAH11	Primary ciliary dyskinesia
DNAH5	Primary ciliary dyskinesia
DNAI1	Primary ciliary dyskinesia
DNAI2	Primary ciliary dyskinesia
DNAJB13	Primary ciliary dyskinesia
DNAJB2	Charcot-Marie-Tooth disease
DNAJB6	Limb-girdle muscular dystrophy
DNAJB6	Limb-girdle muscular dystrophy
DNAJB6	Limb-girdle muscular dystrophy autosomal dominant
DNAJC5	Neuronal ceroid lipofuscinosis
DNAL1	Primary ciliary dyskinesia
DNM2	Centronuclear myopathy
DOCK6	Adams-Oliver syndrome
DOK7	Congenital myasthenic syndrome
DOLK	Congenital disorder of glycosylation
DPAGT1	Congenital disorder of glycosylation
DPM1	Congenital disorder of glycosylation
DPM3	Congenital disorder of glycosylation
DPP6	Paroxysmal familial ventricular fibrillation
DRC1	Primary ciliary dyskinesia
DRD3	Essential tremor
DSC2	Arrhythmogenic right ventricular cardiomyopathy
DSC2	Cardiomyopathy
DSG2	Cardiomyopathy
DSG2	Familial dilated cardiomyopathy
DSG2	Cardiomyopathy
DSG2	Cardiomyopathy
DSG2	Arrhythmogenic right ventricular cardiomyopathy
DSP	Arrhythmogenic right ventricular cardiomyopathy
DSP	Cardiomyopathy
DTNBP1	Hermansky-Pudlak syndrome
DUOX2	Congenital hypothyroidism
DYNC1H1	Charcot-Marie-Tooth disease
DYNC1H1	Charcot-Marie-Tooth disease, type 2
DYNC2H1	Jeune thoracic dystrophy
DYSF	Qualitative or quantitative defects of dysferlin
DYSF	Qualitative or quantitative defects of dysferlin
DYSF	Limb-girdle muscular dystrophy, autosomal recessive
DYSF	Limb-girdle muscular dystrophy, autosomal recessive
EARS2	Combined oxidative phosphorylation deficiency
ECE1	Hirschsprung disease
ECE1	Hirschsprung disease
ECEL1	Distal arthrogryposis
EDA	Hypohidrotic ectodermal dysplasia
EDA	Hypohidrotic ectodermal dysplasia
EDAR	Hypohidrotic ectodermal dysplasia
EDAR	Hypohidrotic ectodermal dysplasia
EDAR	Hypohidrotic ectodermal dysplasia
EDAR	Hypohidrotic ectodermal dysplasia
EDAR	Autosomal hypohidrotic ectodermal dysplasia
EDAR	Autosomal hypohidrotic ectodermal dysplasia
EDARADD	Autosomal hypohidrotic ectodermal dysplasia
EDARADD	Autosomal hypohidrotic ectodermal dysplasia
EDARADD	Hypohidrotic ectodermal dysplasia
EDARADD	Hypohidrotic ectodermal dysplasia
EDARADD	Hypohidrotic ectodermal dysplasia
EDARADD	Hypohidrotic ectodermal dysplasia
EDN1	Auriculocondylar syndrome
EDN1	Auriculocondylar syndrome
EDN3	Hirschsprung disease
EDN3	Hirschsprung disease
EDN3	Hereditary hearing loss and deafness
EDNRB	Hereditary hearing loss and deafness
EDNRB	Hirschsprung disease
EDNRB	Hirschsprung disease
EFEMP2	Cutis laxa, autosomal recessive
EFHC1	Idiopathic generalized epilepsy
EFHC1	Idiopathic generalized epilepsy
EGFR	Neoplasm of lung
EGLN1	Familial erythrocytosis
EGR2	Charcot-Marie-Tooth disease, type I
EGR2	Congenital hypomyelinating neuropathy
EGR2	Charcot-Marie-Tooth disease type 4
EGR2	Charcot-Marie-Tooth disease type 4
EGR2	Charcot-Marie-Tooth disease
EGR2	Charcot-Marie-Tooth disease
EGR2	Charcot-Marie-Tooth disease
ELAC2	Combined oxidative phosphorylation deficiency
ELANE	Severe congenital neutropenia
ELN	Cutis laxa, autosomal dominant
ELOVL4	Stargardt disease
ELP1	Ashkenazi Jewish disorders
EMD	Emery-Dreifuss muscular dystrophy
ENG	Hereditary hemorrhagic telangiectasia
ENO3	Glycogen storage disease
EOGT	Adams-Oliver syndrome
EP300	Menke-Hennekam syndrome
EP300	Rubinstein-Taybi syndrome
EP300	Rubinstein-Taybi syndrome
EPAS1	Familial erythrocytosis
EPB41	Hereditary elliptocytosis
EPB42	Hereditary spherocytosis
EPCAM	COLORECTAL CANCER
EPCAM	Lynch syndrome
EPCAM	Carcinoma of colon
EPHX2	Hyperlipoproteinemia
EPHX2	Familial hypercholesterolemia
EPM2A	Progressive myoclonus epilepsy
EPO	Microvascular complications of diabetes
EPOR	Familial erythrocytosis
ERAL1	Perrault syndrome
ERAL1	Perrault syndrome
ERBB2	Glioma
ERBB2	Glioma
ERBB2	Neoplasm of lung
ERCC2	Xeroderma pigmentosum
ERCC3	Xeroderma pigmentosum
ERCC4	Xeroderma pigmentosum
ERCC5	Xeroderma pigmentosum
ERCC6	Cockayne syndrome
ERCC6	Neoplasm of lung
ERCC6	Age-related macular degeneration
ERCC8	Cockayne syndrome
ERF	Craniosynostosis syndrome
ESPN	Nonsyndromic hearing loss and deafness
ESPN	Nonsyndromic Hearing Loss and Deafness, Autosomal Recessive
ESPN	Hereditary hearing loss and deafness
ESR1	Neoplasm of the breast
ESRRB	Hereditary hearing loss and deafness
ESRRB	Nonsyndromic Hearing Loss and Deafness, Autosomal Recessive
ESRRB	Nonsyndromic hearing loss and deafness
ETFA	Disorder of fatty acid metabolism
ETFB	Disorder of fatty acid metabolism
ETFDH	Disorder of fatty acid metabolism
EWSR1	Peripheral neuroepithelioma
EXOSC3	Pontocerebellar hypoplasia type 1
EXOSC3	Pontoneocerebellar hypoplasia
EXOSC8	Pontoneocerebellar hypoplasia
EXOSC8	Pontocerebellar hypoplasia type 1
EXOSC9	Pontocerebellar hypoplasia type 1
EXOSC9	Pontoneocerebellar hypoplasia
EXT2	Hereditary multiple osteochondromas
EYA1	Branchiootorenal Spectrum Disorders
EYA1	Hereditary hearing loss and deafness
EYA4	Hereditary hearing loss and deafness
EYA4	Autosomal dominant non-syndromic sensorineural deafness type DFNA
EYA4	Familial dilated cardiomyopathy
EYA4	Nonsyndromic hearing loss and deafness
EYA4	Cardiomyopathy
EYA4	Cardiomyopathy
EYS	Retinitis pigmentosa
F12	Hereditary angioneurotic edema
F5	Venous thrombosis
F8	Hemophilia
F9	Hemophilia
FA2H	Neurodegeneration with brain iron accumulation
FAH	Disorder of amino acid metabolism
FAM161A	Retinitis pigmentosa
FANCA	Fanconi anemia
FANCA	Fanconi anemia
FANCB	Fanconi anemia
FANCB	Fanconi anemia
FANCC	Fanconi anemia
FANCC	Fanconi anemia
FANCC	Ashkenazi Jewish disorders
FANCD2	Fanconi anemia
FANCD2	Fanconi anemia
FANCE	Fanconi anemia
FANCE	Fanconi anemia
FANCF	Fanconi anemia
FANCF	Fanconi anemia
FANCG	Fanconi anemia
FANCG	Fanconi anemia
FANCI	Fanconi anemia
FANCI	Fanconi anemia
FANCL	Fanconi anemia
FANCL	Fanconi anemia
FARS2	Combined oxidative phosphorylation deficiency
FASLG	Neoplasm of lung
FBLN5	Age-related macular degeneration
FBLN5	Cutis laxa, autosomal recessive
FBLN5	Cutis laxa, autosomal dominant
FBN1	Ectopia lentis
FBN1	Familial aortopathy
FBN1	Weill-Marchesani syndrome
FBXL4	Mitochondrial DNA Deletion Syndromes
FBXL4	Mitochondrial DNA Depletion Syndrome, Encephalomyopathic Form
FBXL4	Mitochondrial diseases
FBXL4	Hereditary hearing loss and deafness
FBXO7	Parkinson disease
FCGR2A	Ashkenazi Jewish disorders
FCSK	Congenital disorder of glycosylation with defective fucosylation
FGA	Hereditary factor I deficiency disease
FGB	Hereditary factor I deficiency disease
FGD4	Charcot-Marie-Tooth disease
FGD4	Charcot-Marie-Tooth disease type 4
FGF8	Hypogonadism with anosmia
FGFR1	Hypogonadism with anosmia
FGFR1	Craniosynostosis 1
FGFR1	Craniosynostosis 1
FGFR1	Craniosynostosis syndrome
FGFR1	Craniosynostosis syndrome
FGFR1	Holoprosencephaly sequence
FGFR2	Craniosynostosis syndrome
FGFR2	Craniosynostosis syndrome
FGFR2	Craniosynostosis syndrome
FGFR2	Craniosynostosis syndrome
FGFR2	Craniosynostosis syndrome
FGFR2	Craniosynostosis 1
FGFR2	Craniosynostosis 1
FGFR2	Craniosynostosis 1
FGFR2	Craniosynostosis 1
FGFR2	Craniosynostosis 1
FGFR2	Craniosynostosis syndrome
FGFR2	Craniosynostosis 1
FGFR2	Antley-Bixler syndrome
FGFR2	Antley-Bixler syndrome
FGFR2	Antley-Bixler syndrome with genital anomalies and disordered steroidogenesis
FGFR3	Neoplasm of the genitourinary tract
FGFR3	Neoplasm of the genitourinary tract
FGFR3	Craniosynostosis 1
FGFR3	Craniosynostosis syndrome
FGFR3	Craniosynostosis 1
FGFR3	Craniosynostosis 1
FGFR3	Craniosynostosis syndrome
FGFR3	Craniosynostosis syndrome
FGG	Hereditary factor I deficiency disease
FHL1	Emery-Dreifuss muscular dystrophy
FIG4	Amyotrophic lateral sclerosis
FIG4	Charcot-Marie-Tooth disease type 4
FIG4	Amyotrophic lateral sclerosis
FIG4	Charcot-Marie-Tooth disease
FIGLA	Premature ovarian failure
FKBP10	Osteogenesis imperfecta
FKRP	Limb-girdle muscular dystrophy
FKRP	Limb-girdle muscular dystrophy
FKRP	alpha-Dystroglycan related dystrophy
FKRP	alpha-Dystroglycan related dystrophy
FKRP	alpha-Dystroglycan related dystrophy
FKRP	Limb-girdle muscular dystrophy, autosomal recessive
FKRP	Congenital muscular dystrophy
FKRP	Congenital muscular dystrophy
FKRP	Congenital muscular dystrophy
FKTN	Congenital muscular dystrophy
FKTN	Congenital muscular dystrophy
FKTN	Congenital muscular dystrophy
FKTN	Limb-girdle muscular dystrophy, autosomal recessive
FKTN	alpha-Dystroglycan related dystrophy
FKTN	alpha-Dystroglycan related dystrophy
FKTN	Cardiomyopathy
FKTN	Cardiomyopathy
FKTN	Limb-girdle muscular dystrophy
FKTN	Limb-girdle muscular dystrophy
FKTN	Familial dilated cardiomyopathy
FLNA	Otopalatodigital Spectrum Disorders
FLNA	Otopalatodigital Spectrum Disorders
FLNA	Otopalatodigital Spectrum Disorders
FLNA	Otopalatodigital Spectrum Disorders
FLNA	Periventricular nodular heterotopia
FLNB	Larsen syndrome
FLNB	Atelosteogenesis
FLNB	Atelosteogenesis
FLNC	Myofibrillar myopathy
FMR1	Premature ovarian failure
FOXC1	Rieger syndrome
FOXI1	Nonsyndromic hearing loss and deafness
FOXI1	Nonsyndromic Hearing Loss and Deafness, Autosomal Recessive
FOXI1	Hereditary hearing loss and deafness
FOXL2	Premature ovarian failure
FSCN2	Retinitis pigmentosa
FTH1	Hereditary hemochromatosis
FTL	Neurodegeneration with brain iron accumulation
FUS	Amyotrophic lateral sclerosis
FUS	Amyotrophic lateral sclerosis
FUT8	Congenital disorder of glycosylation with defective fucosylation
FXN	Friedreich's ataxia
FZD4	Familial exudative vitreoretinopathy, autosomal dominant
G6PC	Glycogen storage disease
G6PC	Glycogen storage disease, type I
G6PC3	Severe congenital neutropenia
GAA	Metabolic myopathy
GAA	Glycogen storage disease
GAB1	Nonsyndromic Hearing Loss and Deafness, Autosomal Recessive
GAB1	Nonsyndromic hearing loss and deafness
GAB1	Hereditary hearing loss and deafness
GABRA1	Idiopathic generalized epilepsy
GABRA1	Juvenile myoclonic epilepsy
GABRB3	Idiopathic generalized epilepsy
GABRB3	Epilepsy, juvenile absence, susceptibility to, 1
GABRG2	Epilepsy, juvenile absence, susceptibility to, 1
GABRG2	Epilepsy, juvenile absence, susceptibility to, 1
GABRG2	Idiopathic generalized epilepsy
GABRG2	Idiopathic generalized epilepsy
GABRG2	Epilepsy, childhood absence 1
GALE	Galactosemia
GALK1	Galactosemia
GALNS	Morquio syndrome
GALNT12	COLORECTAL CANCER
GALNT12	Carcinoma of colon
GALT	Galactosemia
GAMT	Cerebral creatine deficiency syndrome
GANAB	Polycystic kidney disease, autosomal dominant
GARS1	Distal hereditary motor neuronopathy
GARS1	GARS-Associated Axonal Neuropathy
GARS1	GARS-Associated Axonal Neuropathy
GARS1	Charcot-Marie-Tooth disease, type 2
GARS1	Charcot-Marie-Tooth disease, type 2
GARS1	Charcot-Marie-Tooth disease
GARS1	Charcot-Marie-Tooth disease
GAS8	Primary ciliary dyskinesia
GATA1	Congenital dyserythropoietic anemia
GATA1	Autosomal chromosomal disorder
GATA1	Congenital chromosomal disease
GATA4	Atrial septal defect
GATA4	Atrial septal defect
GATM	Cerebral creatine deficiency syndrome
GBA	Ashkenazi Jewish disorders
GBA	Gaucher disease
GBA	Gaucher disease
GBA	Gaucher disease
GBA	Gaucher disease
GBA	Gaucher disease
GBA	Parkinson disease
GBE1	Glycogen storage disease
GCDH	Disorder of organic acid metabolism
GCK	Neonatal diabetes mellitus
GCK	Familial hyperinsulinism
GDAP1	Charcot-Marie-Tooth disease
GDAP1	Charcot-Marie-Tooth disease
GDAP1	Charcot-Marie-Tooth disease, type 2
GDAP1	Charcot-Marie-Tooth disease type 4
GDF1	Transposition of the great arteries
GDF2	Hereditary hemorrhagic telangiectasia
GDF3	Klippel Feil syndrome
GDF6	Klippel Feil syndrome
GDNF	Hirschsprung disease
GDNF	Hirschsprung disease
GFI1	Severe congenital neutropenia
GFM1	Combined oxidative phosphorylation deficiency
GFPT1	Congenital myasthenic syndrome
GH1	Amyotrophic lateral sclerosis, juvenile, with dementia
GH1	Idiopathic growth hormone deficiency
GH1	Idiopathic growth hormone deficiency
GHR	Familial hypercholesterolemia
GHR	Hyperlipoproteinemia
GIGYF2	Parkinson disease
GIPC3	Hereditary hearing loss and deafness
GIPC3	Nonsyndromic Hearing Loss and Deafness, Autosomal Recessive
GIPC3	Nonsyndromic hearing loss and deafness
GJA5	Atrial standstill
GJA5	Atrial fibrillation
GJB1	Charcot-Marie-Tooth Neuropathy X
GJB1	Charcot-Marie-Tooth disease
GJB2	Hereditary hearing loss and deafness
GJB2	Hereditary hearing loss and deafness
GJB2	DFNA 3 Nonsyndromic Hearing Loss and Deafness
GJB2	Hereditary hearing loss and deafness
GJB2	Nonsyndromic hearing loss and deafness
GJB2	Nonsyndromic hearing loss and deafness
GJB2	Nonsyndromic hearing loss and deafness
GJB2	Nonsyndromic Hearing Loss and Deafness, Autosomal Recessive
GJB2	Deafness, autosomal dominant nonsyndromic sensorineural 3
GJB2	Autosomal dominant non-syndromic sensorineural deafness type DFNA
GJB3	Autosomal dominant non-syndromic sensorineural deafness type DFNA
GJB3	Nonsyndromic Hearing Loss and Deafness, Autosomal Recessive
GJB3	Nonsyndromic hearing loss and deafness
GJB3	Nonsyndromic hearing loss and deafness
GJB3	Hereditary hearing loss and deafness
GJB3	Hereditary hearing loss and deafness
GJB6	Hereditary hearing loss and deafness
GJB6	Hereditary hearing loss and deafness
GJB6	Hereditary hearing loss and deafness
GJB6	DFNA 3 Nonsyndromic Hearing Loss and Deafness
GJB6	Hereditary hearing loss and deafness
GJB6	Nonsyndromic hearing loss and deafness
GJB6	Nonsyndromic hearing loss and deafness
GJB6	Nonsyndromic hearing loss and deafness
GJB6	Nonsyndromic hearing loss and deafness
GJB6	Nonsyndromic Hearing Loss and Deafness, Autosomal Recessive
GJB6	Nonsyndromic Hearing Loss and Deafness, Autosomal Recessive
GJB6	Autosomal dominant non-syndromic sensorineural deafness type DFNA
GJB6	Deafness, autosomal dominant nonsyndromic sensorineural 3
GLB1	Morquio syndrome
GLB1	GM1 gangliosidosis
GLB1	GM1 gangliosidosis
GLB1	GM1 gangliosidosis
GLI2	Holoprosencephaly sequence
GLIS2	Nephronophthisis
GLIS2	Nephronophthisis
GLRA1	Hyperekplexia
GLRA1	Hyperekplexia
GLRB	Hyperekplexia
GLRB	Hyperekplexia
GLUD1	Familial hyperinsulinism
GLUD2	Parkinson disease
GMPPB	Congenital muscular dystrophy
GMPPB	alpha-Dystroglycan related dystrophy
GNAI3	Auriculocondylar syndrome
GNAT2	Achromatopsia
GNB4	Charcot-Marie-Tooth disease
GNPAT	Rhizomelic chondrodysplasia punctata
GNPAT	Peroxisome biogenesis disorders
GNS	Sanfilippo syndrome
GPC3	Nephroblastoma
GPC4	Nephroblastoma
GPD1L	Brugada syndrome
GPHN	Hyperekplexia
GPHN	Hyperekplexia
GPHN	Combined molybdoflavoprotein enzyme deficiency
GPIHBP1	Familial chylomicronemia syndrome
GPSM2	Nonsyndromic Hearing Loss and Deafness, Autosomal Recessive
GPSM2	Nonsyndromic hearing loss and deafness
GPSM2	Hereditary hearing loss and deafness
GRHL2	Hereditary hearing loss and deafness
GRHL2	Nonsyndromic hearing loss and deafness
GRHL2	Autosomal dominant non-syndromic sensorineural deafness type DFNA
GRHPR	Primary hyperoxaluria
GRIN2A	Rolandic epilepsy
GRM6	Congenital stationary night blindness
GRXCR1	Nonsyndromic Hearing Loss and Deafness, Autosomal Recessive
GRXCR1	Nonsyndromic hearing loss and deafness
GRXCR1	Hereditary hearing loss and deafness
GSDME	Hereditary hearing loss and deafness
GSDME	Nonsyndromic hearing loss and deafness
GSDME	Autosomal dominant non-syndromic sensorineural deafness type DFNA
GTPBP3	Combined oxidative phosphorylation deficiency
GUCA1B	Retinitis pigmentosa
GUCY2D	Leber congenital amaurosis
GYG1	Polyglucosan body myopathy
GYG1	Glycogen storage disease
H19	Nephroblastoma
H19-ICR	Nephroblastoma
HADH	Familial hyperinsulinism
HADHA	Disorder of fatty acid metabolism
HADHB	Disorder of fatty acid metabolism
HAMP	Juvenile hemochromatosis
HAMP	Hereditary hemochromatosis
HARS2	Perrault syndrome
HARS2	Perrault syndrome
HAX1	Severe congenital neutropenia
HBA1	Hemoglobinopathy
HBA1	Hemoglobinopathy
HBA1	Thalassemia
HBA1	Thalassemia
HBA2	Thalassemia
HBA2	Thalassemia
HBA2	Hemoglobinopathy
HBA2	Hemoglobinopathy
HBB	Hemoglobinopathy
HBB	Hemoglobinopathy
HBB	Hemoglobinopathy
HBB	Thalassemia
HBB	Thalassemia
HBB-LCR	Thalassemia
HBB-LCR	Hemoglobinopathy
HCN4	Brugada syndrome
HES7	Autosomal recessive spondylocostal dysostosis
HEXA	Ashkenazi Jewish disorders
